date,account,entry_type,region,value
2026-04-30,Thombay,lucky,sinnoh,13.0
2026-04-30,Thombay,lucky,unova,25.0
2026-04-30,Thombay,lucky,kalos,9.0
2026-04-30,Thombay,lucky,alola,8.0
2026-04-30,Thombay,lucky,galar,13.0
2026-04-30,Thombay,lucky,paldea,10.0
2026-04-30,Thombay,xxl,kanto,42.0
2026-04-30,Thombay,xxl,johto,16.0
2026-04-30,Thombay,xxl,hoenn,26.0
2026-04-30,Thombay,xxl,sinnoh,17.0
2026-04-30,Thombay,xxl,unova,22.0
2026-04-30,Thombay,xxl,kalos,16.0
2026-04-30,Thombay,xxl,alola,10.0
2026-04-30,Thombay,xxl,galar,9.0
2026-04-30,Thombay,xxl,paldea,8.0
2026-04-30,Thombay,xxl,unidentified,1.0
2026-04-30,Thombay,xxs,kanto,104.0
2026-04-30,Thombay,xxs,johto,38.0
2026-04-30,Thombay,xxs,hoenn,54.0
2026-04-30,Thombay,xxs,sinnoh,38.0
2026-04-30,Thombay,xxs,unova,39.0
2026-04-30,Thombay,xxs,kalos,14.0
2026-04-30,Thombay,xxs,alola,4.0
2026-04-30,Thombay,xxs,galar,11.0
2026-04-30,Thombay,xxs,paldea,8.0
2026-04-30,Thombay,xxs,unidentified,1.0
2026-04-30,Thombay,gmax,kanto,8.0
2026-04-30,Thombay,gmax,unova,1.0
2026-04-30,Thombay,gmax,galar,3.0
2026-04-30,Thombay,mega,kanto,15.0
2026-04-30,Thombay,mega,johto,6.0
2026-04-30,Thombay,mega,hoenn,21.0
2026-04-30,Thombay,mega,sinnoh,5.0
2026-04-30,Thombay,mega,unova,0.0
2026-04-30,Thombay,mega,kalos,2.0
2026-04-30,Thombay,shadow,kanto,91.0
2026-04-30,Thombay,shadow,johto,39.0
2026-04-30,Thombay,shadow,hoenn,54.0
2026-04-30,Thombay,shadow,sinnoh,29.0
2026-04-30,Thombay,shadow,unova,38.0
2026-04-30,Thombay,shadow,kalos,19.0
2026-04-30,Thombay,shadow,alola,4.0
2026-04-30,Thombay,shadow,galar,0.0
2026-04-30,Thombay,shadow,hisui,0.0
2026-04-30,Thombay,shadow,paldea,0.0
2026-04-30,Thombay,shadow,unidentified,0.0
2026-04-30,Thombay,purified,kanto,80.0
2026-04-30,Thombay,purified,johto,33.0
2026-04-30,Thombay,purified,hoenn,37.0
2026-04-30,Thombay,purified,sinnoh,18.0
2026-04-30,Thombay,purified,unova,25.0
2026-04-30,Thombay,purified,kalos,16.0
2026-04-30,Thombay,purified,alola,3.0
2026-04-30,Thombay,purified,galar,0.0
2026-04-30,Thombay,purified,hisui,0.0
2026-04-30,Thombay,purified,paldea,0.0
2026-04-30,Thombay,purified,unidentified,0.0
2026-04-30,Thombay,hundo,kanto,18.0
2026-04-30,Thombay,hundo,johto,7.0
2026-04-30,Thombay,hundo,hoenn,11.0
2026-04-30,Thombay,hundo,sinnoh,8.0
2026-04-30,Thombay,hundo,unova,4.0
2026-04-30,Thombay,hundo,kalos,9.0
2026-04-30,Thombay,hundo,alola,2.0
2026-04-30,Thombay,hundo,galar,6.0
2026-04-30,Thombay,hundo,hisui,0.0
2026-04-30,Thombay,hundo,paldea,2.0
2026-04-30,Thombay,hundo,unidentified,0.0
2026-05-12,Thombay,pokemon,kanto,151.0
