date,account,medal_id,value
2025-06-27,Thombay,fairy,1611.0
2025-06-27,Thombay,fighting,1945.0
2025-06-27,Thombay,fire,2045.0
2025-06-27,Thombay,fisher,46.0
2025-06-27,Thombay,flying,5886.0
2025-06-27,Thombay,galar,39.0
2025-06-27,Thombay,gentleman,411.0
2025-06-27,Thombay,ghost,1541.0
2025-06-27,Thombay,grass,3789.0
2025-06-27,Thombay,great_league_veteran,176.0
2025-06-27,Thombay,ground,2457.0
2025-06-27,Thombay,gym_leader,10815.0
2025-06-27,Thombay,hero,746.0
2025-06-27,Thombay,hisui,5.0
2025-06-27,Thombay,hoenn,132.0
2025-06-27,Thombay,ice,1303.0
2025-06-27,Thombay,idol,72.0
2025-06-27,Thombay,jogger,6292.9
2025-06-27,Thombay,johto,100.0
2025-06-27,Thombay,jumbo_pokemon_collector,96.0
2025-06-27,Thombay,kalos,59.0
2025-06-27,Thombay,kanto,151.0
2025-06-27,Thombay,life_of_a_party,259.0
2025-06-27,Thombay,master_league_veteran,138.0
2025-06-27,Thombay,mega_evolution_guru,13.0
2025-06-27,Thombay,normal,12354.0
2025-06-27,Thombay,paldea,36.0
2025-06-27,Thombay,picnicker,336.0
2025-06-27,Thombay,pikachu_fan,340.0
2025-06-27,Thombay,pilot,612261.0
2025-06-27,Thombay,poison,6099.0
2025-06-27,Thombay,pokemon_caught,37392.0
2025-06-27,Thombay,pokemon_ranger,750.0
2025-06-27,Thombay,pokestops_visited,27698.0
2025-06-27,Thombay,psychic,4960.0
2025-06-27,Thombay,purifier,328.0
2025-06-27,Thombay,raid_expert,172.0
2025-06-27,Thombay,rising_star,115.0
2025-06-27,Thombay,rising_star_duo,267.0
2025-06-27,Thombay,rock,2025.0
2025-06-27,Thombay,scientist,1571.0
2025-06-27,Thombay,showcase_star,1.0
2025-06-27,Thombay,sightseer,1603.0
2025-06-27,Thombay,sinnoh,100.0
2025-06-27,Thombay,steel,1279.0
2025-06-27,Thombay,successor,69.0
2025-06-27,Thombay,tiny_pokemon_collector,80.0
2025-06-27,Thombay,triathlete,75.0
2025-06-27,Thombay,ultra_hero,8.0
2025-06-27,Thombay,ultra_league_veteran,96.0
2025-06-27,Thombay,unova,152.0
2025-06-27,Thombay,unown,6.0
2025-06-27,Thombay,water,7050.0
2025-06-27,Thombay,wayfarer,6.0
2025-06-27,Thombay,youngster,98.0
2025-08-25,Thombay,ace_trainer,202.0
2025-08-25,Thombay,alola,60.0
2025-08-25,Thombay,backpacker,32785.0
2025-08-25,Thombay,battle_girl,1667.0
2025-08-25,Thombay,battle_legend,277.0
2025-08-25,Thombay,berry_master,10713.0
2025-08-25,Thombay,best_buddy,7.0
2025-08-25,Thombay,breeder,1316.0
2025-08-25,Thombay,bug,4798.0
2025-08-25,Thombay,cameraman,113.0
2025-08-25,Thombay,champion,183.0
2025-08-25,Thombay,collector,42183.0
2025-08-25,Thombay,community_member,1.0
2025-08-25,Thombay,dark,2300.0
2025-08-25,Thombay,distance_walked,6637.1
2025-08-25,Thombay,dragon,675.0
2025-08-25,Thombay,electric,2749.0
2025-08-25,Thombay,expert_navigator,46.0
2025-08-25,Thombay,fairy,1956.0
2025-08-25,Thombay,fighting,2248.0
2025-08-25,Thombay,fire,2417.0
2025-08-25,Thombay,fisher,67.0
2025-08-25,Thombay,flying,5886.0
2025-08-25,Thombay,galar,48.0
2025-08-25,Thombay,gentleman,513.0
2025-08-25,Thombay,ghost,1783.0
2025-08-25,Thombay,grass,3789.0
2025-08-25,Thombay,great_league_veteran,208.0
2025-08-25,Thombay,ground,2779.0
2025-08-25,Thombay,gym_leader,11745.0
2025-08-25,Thombay,hero,879.0
2025-08-25,Thombay,hisui,5.0
2025-08-25,Thombay,hoenn,132.0
2025-08-25,Thombay,ice,1464.0
2025-08-25,Thombay,idol,72.0
2025-08-25,Thombay,jogger,6637.0
2025-08-25,Thombay,johto,100.0
2025-08-25,Thombay,jumbo_pokemon_collector,123.0
2025-08-25,Thombay,kalos,63.0
2025-08-25,Thombay,kanto,151.0
2025-08-25,Thombay,life_of_a_party,259.0
2025-08-25,Thombay,master_league_veteran,169.0
2025-08-25,Thombay,mega_evolution_guru,20.0
2025-08-25,Thombay,normal,12354.0
2025-08-25,Thombay,paldea,44.0
2025-08-25,Thombay,picnicker,418.0
2025-08-25,Thombay,pikachu_fan,356.0
2025-08-25,Thombay,pilot,677216.0
2025-08-25,Thombay,poison,6099.0
2025-08-25,Thombay,pokemon_caught,42187.0
2025-08-25,Thombay,pokemon_ranger,889.0
2025-08-25,Thombay,pokestops_visited,32789.0
2025-08-25,Thombay,psychic,4960.0
2025-08-25,Thombay,purifier,411.0
2025-08-25,Thombay,raid_expert,261.0
2025-08-25,Thombay,rising_star,139.0
2025-08-25,Thombay,rising_star_duo,345.0
2025-08-25,Thombay,rock,2333.0
2025-08-25,Thombay,scientist,1633.0
2025-08-25,Thombay,showcase_star,3.0
2025-08-25,Thombay,sightseer,1840.0
2025-08-25,Thombay,sinnoh,100.0
2025-08-25,Thombay,steel,1563.0
2025-08-25,Thombay,successor,134.0
2025-08-25,Thombay,tiny_pokemon_collector,131.0
2025-08-25,Thombay,triathlete,83.0
2025-08-25,Thombay,ultra_hero,9.0
2025-08-25,Thombay,ultra_league_veteran,129.0
2025-08-25,Thombay,unova,154.0
2025-08-25,Thombay,unown,6.0
2025-08-25,Thombay,water,7050.0
2025-08-25,Thombay,wayfarer,6.0
2025-08-25,Thombay,youngster,100.0
2025-09-22,Thombay,backpacker,35696.0
2025-09-22,Thombay,collector,44847.0
2025-09-22,Thombay,distance_walked,6786.0
2025-09-22,Thombay,jogger,6786.0
2025-09-22,Thombay,pokemon_caught,44847.0
2025-09-22,Thombay,pokestops_visited,35696.0
2025-10-22,Thombay,ace_trainer,202.0
2025-10-22,Thombay,alola,63.0
2025-10-22,Thombay,backpacker,37345.0
2025-10-22,Thombay,battle_girl,1709.0
2025-10-22,Thombay,battle_legend,307.0
2025-10-22,Thombay,berry_master,12256.0
2025-10-22,Thombay,best_buddy,7.0
2025-10-22,Thombay,breeder,1389.0
2025-10-22,Thombay,bug,4798.0
2025-10-22,Thombay,cameraman,127.0
2025-10-22,Thombay,champion,200.0
2025-10-22,Thombay,collector,46917.0
2025-10-22,Thombay,community_member,2.0
2025-10-22,Thombay,dark,2548.0
2025-10-22,Thombay,distance_walked,6870.0
